ID,English Title,French,Spanish,Portuguese,Swahili,Arabic
65,Agriculture and Agribusiness,,,,,
175,Hydroponics and Vertical Farming,,,,,
174,Sustainable Agriculture Practices,,,,,
66,Sustainable Farming Practices,,,,,
99,Advanced Auto Diagnostics and Repair,,,,,
48,Automotive Electrical Systems,,,,,
100,Electric Vehicle (EV) Technology,,,,,
101,Generator and Plant Maintenance,,,,,
46,Car and Van Mechanics,,,,,
47,Heavy Vehicle Mechanics,,,,,
45,Motorcycle and Tricycle Mechanics,,,,,
96,Advanced Masonry and Stone Work,,,,,
39,Construction Project Management,,,,,
98,Green Building and Sustainable Construction,,,,,
35,Masonry and Bricklaying,,,,,
38,Painting and Decorating,,,,,
37,Plumbing and Sanitation,,,,,
97,Interior Design and Decoration,,,,,
36,Roofing and Tiling,,,,,
62,Advanced Woodworking,,,,,
61,Carpentry and Furniture Making,,,,,
77,AWS Cloud Computing Certification,,,,,
89,CISSP Certification Preparation,,,,,
76,CompTIA Security+ Certification,,,,,
78,PMP Project Management Certification,,,,,
92,Project Management Professional (PMP),,,,,
91,AWS Cloud Practitioner Certification,,,,,
90,Cisco CCNA Certification,,,,,
75,CompTIA IT Fundamentals,,,,,
171,Blockchain and Cryptocurrency Fundamentals,,,,,
148,Cybersecurity Professional,,,,,
130,GIMP - Advanced Photo Manipulation,,,,,
188,GIMP - Advanced Photo Manipulation and Design,,,,,
132,Inkscape - Logo and Illustration Mastery,,,,,
117,Linux System Administration,,,,,
180,Linux System Administration Professional,,,,,
88,Mobile App Development,,,,,
85,Network Administration and Management,,,,,
87,Web Development - Full Stack,,,,,
114,Windows Advanced Administration,,,,,
177,Windows Advanced Administration and Security,,,,,
181,Chrome OS and Cloud Computing Basics,,,,,
4,Computer Basics,,,,,
208,Cybersecurity and Digital Safety,,,,,
129,GIMP - Image Editing Fundamentals,,,,,
187,GIMP - Professional Image Editing (Open Source),,,,,
141,HTML and CSS Fundamentals,,,,,
131,Inkscape - Vector Graphics Design,,,,,
189,Inkscape - Vector Graphics Design (Open Source),,,,,
54,Introduction to Computers,,,,,
